GEOUID,Prov_code,CD_code,Total_popul,Immigrants
1001,10,1,266700,8780
1002,10,2,20130,170
1003,10,3,15460,80
1004,10,4,20070,250
1005,10,5,41305,685
1006,10,6,37635,525
1007,10,7,33530,390
1008,10,8,35190,175
1009,10,9,15335,225
1010,10,10,24335,790
1011,10,11,2560,15
1101,11,1,16680,530
1102,11,2,80020,7135
1103,11,3,42985,1275
1201,12,1,13760,435
1202,12,2,23900,905
1203,12,3,17045,585
1204,12,4,10170,375
1205,12,5,20185,1175
1206,12,6,46330,2555
1207,12,7,59380,2800
1208,12,8,42050,1470
1209,12,9,397635,37205
1210,12,10,49730,1975
1211,12,11,29220,840
1212,12,12,42890,1275
1213,12,13,7505,225
1214,12,14,19015,915
1215,12,15,16750,620
1216,12,16,8850,250
1217,12,17,96990,1735
1218,12,18,6935,325
1301,13,1,71910,4200
1302,13,2,24905,1735
1303,13,3,26920,780
1304,13,4,10240,285
1305,13,5,68150,2865
1306,13,6,28885,1100
1307,13,7,145705,8090
1308,13,8,29960,1005
1309,13,9,44080,850
1310,13,10,97975,8215
1311,13,11,25760,1365
1312,13,12,18310,610
1313,13,13,31490,1290
1314,13,14,29945,420
1315,13,15,76475,1025
2401,24,1,12190,105
2402,24,2,17045,175
2403,24,3,16700,185
2404,24,4,10955,105
2405,24,5,17195,170
2406,24,6,14040,210
2407,24,7,17390,80
2408,24,8,20590,330
2409,24,9,17530,140
2410,24,10,54645,965
2411,24,11,8270,30
2412,24,12,32600,440
2413,24,13,18850,235
2414,24,14,20110,230
2415,24,15,15180,175
2416,24,16,12535,210
2417,24,17,17240,120
2418,24,18,22040,230
2419,24,19,36045,530
2420,24,20,6965,230
2421,24,21,27405,535
2422,24,22,42965,1290
2423,24,23,552915,38670
2425,24,25,140250,3730
2426,24,26,35850,595
2427,24,27,18525,190
2428,24,28,15990,235
2429,24,29,50895,735
2430,24,30,21015,360
2431,24,31,40760,555
2432,24,32,22740,270
2433,24,33,31025,405
2434,24,34,51365,795
2435,24,35,12065,120
2436,24,36,47420,765
2437,24,37,147280,4805
2438,24,38,19840,330
2439,24,39,69525,1745
2440,24,40,13770,255
2441,24,41,21895,405
2442,24,42,29955,590
2443,24,43,156260,12740
2444,24,44,18090,600
2445,24,45,49030,2640
2446,24,46,56610,2655
2447,24,47,85810,3610
2448,24,48,15200,275
2449,24,49,100090,2910
2450,24,50,22305,475
2451,24,51,35485,455
2452,24,52,41420,850
2453,24,53,49485,1160
2454,24,54,83820,3850
2455,24,55,35475,935
2456,24,56,114700,4100
2457,24,57,122245,5980
2458,24,58,406365,82285
2459,24,59,76225,2815
2460,24,60,122955,8615
2461,24,61,63930,1700
2462,24,62,49260,1365
2463,24,63,52035,1040
2464,24,64,156690,12385
2465,24,65,410850,116935
2466,24,66,1895000,644685
2467,24,67,169740,18675
2468,24,68,27220,815
2469,24,69,22040,900
2470,24,70,62230,1455
2471,24,71,147355,17585
2472,24,72,97140,6500
2473,24,73,153955,11785
2474,24,74,50305,1600
2475,24,75,124800,4520
2476,24,76,31725,1070
2477,24,77,41210,2815
2478,24,78,44795,1975
2479,24,79,33930,440
2480,24,80,22360,455
2481,24,81,271845,33865
2482,24,82,48880,2090
2483,24,83,19795,305
2484,24,84,14025,325
2485,24,85,15665,195
2486,24,86,41170,760
2487,24,87,20030,95
2488,24,88,24000,220
2489,24,89,42290,860
2490,24,90,14615,120
2491,24,91,30245,255
2492,24,92,23775,165
2493,24,93,51170,450
2494,24,94,163680,2095
2495,24,95,10655,95
2496,24,96,30325,325
2497,24,97,38580,595
2498,24,98,11120,75
2499,24,99,43890,510
3501,35,1,110810,7170
3502,35,2,87260,4035
3506,35,6,916860,216505
3507,35,7,98785,7115
3509,35,9,67210,4155
3510,35,10,146715,17590
3511,35,11,41195,2655
3512,35,12,133710,9485
3513,35,13,24100,2480
3514,35,14,83365,8890
3515,35,15,135075,11410
3516,35,16,73375,5780
3518,35,18,639490,150880
3519,35,19,1100950,515225
3520,35,20,2691665,1266000
3521,35,21,1372640,706835
3522,35,22,60845,8365
3523,35,23,219415,37710
3524,35,24,540975,160165
3525,35,25,527930,130370
3526,35,26,438160,72855
3528,35,28,107590,10545
3529,35,29,132245,16475
3530,35,30,527340,119335
3531,35,31,75175,6675
3532,35,32,109155,10785
3534,35,34,87605,10460
3536,35,36,99775,8630
3537,35,37,391000,85810
3538,35,38,124600,12390
3539,35,39,448540,90855
3540,35,40,57830,4190
3541,35,41,66720,5135
3542,35,42,91730,7360
3543,35,43,471130,61605
3544,35,44,58340,4515
3546,35,46,17785,1570
3547,35,47,99265,5460
3548,35,48,81285,3650
3549,35,49,41845,2970
3551,35,51,12955,495
3552,35,52,21245,790
3553,35,53,158780,9290
3554,35,54,31680,1120
3556,35,56,78510,2165
3557,35,57,112055,8900
3558,35,58,143085,11710
3559,35,59,19760,1010
3560,35,60,64615,2565
4601,46,1,17660,1705
4602,46,2,74260,11120
4603,46,3,53180,11195
4604,46,4,8795,475
4605,46,5,12350,640
4606,46,6,9970,640
4607,46,7,65840,8590
4608,46,8,12360,585
4609,46,9,22375,1280
4610,46,10,10455,585
4611,46,11,693030,176305
4612,46,12,23260,1460
4613,46,13,47835,4025
4614,46,14,17080,810
4615,46,15,20060,2310
4616,46,16,9635,435
4617,46,17,21235,715
4618,46,18,23505,1565
4619,46,19,0,0
4620,46,20,9435,465
4621,46,21,21390,655
4622,46,22,0,0
4623,46,23,0,0
4701,47,1,31220,2335
4702,47,2,22370,1580
4703,47,3,11990,765
4704,47,4,9405,710
4705,47,5,31080,1635
4706,47,6,258425,37750
4707,47,7,45230,3125
4708,47,8,28800,1840
4709,47,9,34840,2170
4710,47,10,16080,580
4711,47,11,296705,45585
4712,47,12,22790,1080
4713,47,13,22125,1105
4714,47,14,35330,1520
4715,47,15,82985,4945
4716,47,16,37000,2280
4717,47,17,47345,3135
4718,47,18,0,0
4801,48,1,79665,7465
4802,48,2,162380,25090
4803,48,3,35515,2675
4804,48,4,8690,430
4805,48,5,50510,3970
4806,48,6,1478555,415935
4807,48,7,38755,1975
4808,48,8,204550,21800
4809,48,9,20410,1025
4810,48,10,93985,7375
4811,48,11,1340925,311695
4812,48,12,65735,3925
4813,48,13,69065,4480
4814,48,14,28885,2290
4815,48,15,34610,5320
4816,48,16,73875,15880
4817,48,17,60810,3265
4818,48,18,13930,760
4819,48,19,117300,9860
5901,59,1,59230,5455
5903,59,3,58340,6875
5905,59,5,30675,3115
5907,59,7,80440,11930
5909,59,9,288765,58805
5915,59,15,2426235,989545
5917,59,17,372875,68925
5919,59,19,81880,10290
5921,59,21,151625,23680
5923,59,23,30260,2930
5924,59,24,43810,4630
5926,59,26,65355,8220
5927,59,27,19610,2690
5929,59,29,29370,5605
5931,59,31,41580,7005
5933,59,33,129015,11770
5935,59,35,190565,26450
5937,59,37,82460,8655
5939,59,39,50195,5315
5941,59,41,61000,5625
5943,59,43,10875,975
5945,59,45,0,0
5947,59,47,17895,2005
5949,59,49,36940,3675
5951,59,51,37445,3640
5953,59,53,92935,9025
5955,59,55,61530,5095
5957,59,57,735,60
5959,59,59,5295,435
6001,60,1,35115,4415
6101,61,1,6205,260
6102,61,2,2410,70
6103,61,3,2745,35
6104,61,4,3120,60
6105,61,5,6855,380
6106,61,6,19800,2885
6204,62,4,18805,660
6205,62,5,10295,170
6208,62,8,6490,95
